,jobCode,synteza,nazwa_zawodu
0,252101,"Zarządza konkretną bazą danych i określa uprawnienia poszczególnych użytkowników, archiwizuje dane i odpowiada za prawidłowe działanie systemu, posługując się dokumentacją techniczną i programową danej bazy danych oraz programami narzędziowymi dostarczanymi przez jej twórcę (producenta), w celu bezawaryjnej pracy sprzętu i oprogramowania oraz właściwego wykorzystania informacji bazy danych przez uprawnionych użytkowników.",Administrator baz danych
1,242111,Zajmuje się wdrożeniem polityki bezpieczeństwa informacji oraz nadzoruje proces przestrzegania przez pracowników obowiązujących procedur w tym zakresie; odpowiada za zarządzanie procesem przetwarzania poufnych danych w organizacji.,Administrator bezpieczeństwa informacji
2,333403,"Administrator nieruchomości wykonuje czynności pomocnicze związane z zarządzaniem nieruchomością powierzoną jego pieczy przez zarządcę lub właściciela nieruchomości.
Administrator nieruchomości dozoruje stan techniczny urządzeń i instalacji obiektu budowlanego i jego otoczenia, powierzonych jego pieczy przez zarządcę lub właściciela. Może uczestniczyć z polecenia zarządcy nieruchomości lub właściciela w okresowych, obligatoryjnych kontrolach stanu technicznego obiektu budowlanego i jego otoczenia. Wspiera zarządcę nieruchomości w zapewnieniu dostaw niezbędnych mediów. Obserwuje prace realizowane na terenie administrowanej nieruchomości. W przypadku stwierdzenia zjawisk niekorzystnych informuje swego bezpośredniego przełożonego. Współpracuje z zarządcą nieruchomości lub właścicielem przy realizacji zadań inwestycyjnych i remontowych. Odpowiada za czystość, porządek i stan bezpieczeństwa w administrowanym budynku. Współpracuje z księgowością lub bezpośrednim przełożonym przekazując dane potrzebne do rozliczania czynszu, zaliczek na opłaty i opłat za realizowane usługi: stany wodomierzy, liczników energii elektrycznej, ciepłomierzy. Wykonuje prace pomocnicze, jak prowadzenie dokumentacji administrowanych budynków, dokonywanie rozliczeń, nadzorowanie usuwania awarii i usterek, opracowywanie danych do projektu planu rzeczowo-finansowego robót i usług. Współpracuje z mieszkańcami w zakresie realizacji zadań zleconych przez przełożonych. Gromadzi informacje zgłaszane przez osoby zatrudnione w obsłudze obiektu oraz mieszkańców budynku i przekazuje je bezpośredniemu przełożonemu.",Administrator nieruchomości
3,242101,"Współpracuje z kierownikiem produkcji filmu w zakresie opracowania szczegółowego planu filmu, planowania i obsługi finansowej grupy zdjęciowej, przygotowywania projektów umów i zleceń, kontrolowania działalności gospodarczej grupy zdjęciowej oraz opracowania sprawozdania organizacyjno-ekonomicznego.",Administrator produkcji filmowej
4,351401,"Administrator stron internetowych odpowiada za poprawne funkcjonowanie oprogramowania stron internetowych.
Osoba wykonująca zawód administratora stron internetowych odpowiedzialna jest za prawidłowe działanie stron internetowych. W szczególności dotyczy to takich działań, jak utrzymanie w ruchu serwera strony internetowej oraz zapewnienie prawidłowego funkcjonowania oprogramowania strony internetowej. Administrator stron internetowych instaluje, konfiguruje i zarządza narzędziami oraz oprogramowaniem związanym z funkcjonowaniem stron internetowych. Zna języki programowania stosowane w budowie stron internetowych. Monitoruje działanie stron internetowych a w przypadku wystąpienia problemów przywraca sprawność strony internetowej. Analizuje obciążenie i ruch strony internetowej oraz optymalizuje kod, to znaczy ustala parametry strony dla jak najlepszego jej funkcjonowania. Odpowiada za zapewnienie bezpieczeństwa strony internetowej i wdrażanie polityki bezpieczeństwa przetwarzanych informacji. Dostosowuje strony internetowe do potrzeb osób niepełnosprawnych. Wykonuje także kopie zapasowe strony internetowej. Administrator stron internetowych może być odpowiedzialny również za aktualizację i modyfikację strony internetowej.",Administrator stron internetowych
5,252201,"Odpowiada za instalację i administrowanie systemami komputerowymi; zajmuje się nadzorowaniem pracy systemów komputerowych oraz przeprowadzaniem okresowego przeglądu i konserwacji systemów komputerowych; przydziela użytkownikom dostęp do systemów, oprogramowania itd.",Administrator systemów komputerowych
6,351402,"Administrator systemów poczty elektronicznej utrzymuje ciągłość działania systemów pocztowych.
Administrator systemów poczty elektronicznej instaluje, konfiguruje i zarządza systemami poczty elektronicznej w firmach usługowych, produkcyjnych, instytucjach publicznych w celu zapewnienia środków bieżącej komunikacji elektronicznej użytkownikom systemów. Biegle posługuje się komputerem i technologiami informacyjnymi. Zna zagadnienia związane z administracją systemami i serwerami pocztowymi oraz podstawy funkcjonowania sieci komputerowych i wybranych protokołów komunikacji elektronicznej. Potrafi jasno komunikować się z użytkownikami i współpracować przy rozwiązywaniu problemów. Śledzi aktualne informacje branżowe, w szczególności zaznajamia się na bieżąco z zagadnieniami bezpieczeństwa administrowanych przez siebie systemów poczty elektronicznej.",Administrator systemów poczty elektronicznej
7,252202,"Odpowiada za projektowanie, opracowywanie, instalację i administrowanie bazami danych i zintegrowanymi systemami zarządzania; zajmuje się nadzorowaniem pracy zintegrowanych systemów zarządzania oraz przeprowadzaniem okresowej konserwacji systemu.",Administrator zintegrowanych systemów zarządzania
8,261101,"Świadczy pomoc prawną poprzez obronę klienta w postępowaniu karnym albo reprezentuje klienta w postępowaniu przed sądem w sprawach cywilnych, z zakresu prawa rodzinnego i opiekuńczego, prawa drogowego, lub przed innymi organami (np. administracji państwowej, samorządowymi).",Adwokat
9,333101,Na zlecenie i w granicach upoważnienia podmiotu dokonującego obrotu towarowego z zagranicą pośredniczy między nim a władzami urzędu celnego w wykonywaniu czynności niezbędnych do odprawy celnej.,Agent celny
